Club	DefenceScore	AttackScore	PossessionScore	League	ClubCode	Year	SquadValue	FinalRound	UniqueName	SquadValueNum	Overall	img
Schalke 04	12.73	114.11	45.87	German Bundesliga	SCH	2014-15	Σ177.01m	Round of 16	SCH14	177.01	172.71	schalke.png
Juventus	85.56	96.28	23.53	Italian Serie A	JUV	2014-15	Σ279.65m	Final	JUV14	279.65	205.37	JuventusLogo.svg
Roma	26.76	113.21	40.08	Italian Serie A	NAP	2014-15	Σ209.44m	Group Stage	NAP14	209.44	180.05	RomaLogo.svg
Benfica	77.38	69.62	-34.69	Portuguese Liga Nos	BEN	2014-15	Σ152.79m	Group Stage	BEN14	152.79	112.31	BenficaLogo.svg
Porto 	107.14	153.1	9	Portuguese Liga Nos	POR	2014-15	Σ167.88m	Quarter-finals	POR14	167.88	269.24	PortoLogo.svg
Sporting CP	2.62	137.1	19.98	Portuguese Liga Nos	SCP	2014-15	Σ119.43m	Group Stage	SCP14	119.43	159.7	SportingLogo.png
Real Madrid	87.84	217.54	62.94	Spanish La Liga	RMA	2013-14	Σ485.78m	Winner	RMA13	485.78	368.32	real_madrid_logo.svg
Barcelona	82.21	159.06	159.93	Spanish La Liga	FCB	2013-14	Σ499.21m	Quarter-finals	FCB13	499.21	401.2	barcelona_logo.png
Atletico Madrid	97.86	132.57	-35.74	Spanish La Liga	ATL	2013-14	Σ195.93m	Final	ATL13	195.93	194.69	AtleticoLogo.svg
Real Sociedad	30.31	38.73	0.33	Spanish La Liga	RSO	2013-14	Σ93.08m	Group Stage	RSO13	93.08	69.37	SociedadLogo.svg
Manchester City	-28.33	149.47	28.07	English Premier League	MC	2013-14	Σ399.29m	Quarter-finals	MC13	399.29	149.21	ManCityLogo.svg
Manchester United	102.95	111.37	-13.45	English Premier League	MUN	2013-14	Σ350.41m	Quarter-finals	MUN13	350.41	200.87	manunited.png
Chelsea	95.79	141.53	15.51	English Premier League	CHE	2013-14	Σ404.39m	Semi-finals	CHE13	404.39	252.83	ChelseaLogo.svg
Arsenal	80.45	89.2	22.38	English Premier League	ARS	2013-14	Σ291.13m	Quarter-finals	ARS13	291.13	192.03	ArsenalLogo.svg
Paris Saint-Germain	94.61	160.8	100.2	French Ligue 1	PSG	2013-14	Σ306.64m	Quarter-finals	PSG13	306.64	355.61	psg2.png
Marseille	-11.76	86.22	-13.91	French Ligue 1	MAR	2013-14	Σ112.58m	Group Stage	13-Mar	112.58	60.55	MarseilleLogo.svg
Bayern Munich	71.06	180.49	170.68	German Bundesliga	BAY	2013-14	Σ411.10m	Semi-finals	BAY13	411.1	422.23	BayernMunichLogo.svg
Borussia Dortmund	51.35	121.7	-19.79	German Bundesliga	DOR	2013-14	Σ244.84m	Quarter-finals	DOR13	244.84	153.26	BVBLogo.svg
Bayer Leverkusen	4.15	76.43	7.55	German Bundesliga	LEV	2013-14	Σ113.14m	Quarter-finals	LEV13	113.14	88.13	LeverkusenLogo.svg
Schalke 04	29.82	98.69	6.23	German Bundesliga	SCH	2013-14	Σ154.53m	Quarter-finals	SCH13	154.53	134.74	schalke.png
Juventus	-12	137.77	50.44	Italian Serie A	JUV	2013-14	Σ291.64m	Group Stage	JUV13	291.64	176.21	JuventusLogo.svg
Napoli	63.38	111.12	-18.07	Italian Serie A	NAP	2013-14	Σ191.89m	Group Stage	NAP13	191.89	156.43	napoli.png
A.C. Milan	68.54	66.32	-24.06	Italian Serie A	MIL	2013-14	Σ188.28m	Quarter-finals	MIL13	188.28	110.8	MilanLogo.svg
Benfica	55.23	77.88	-25.45	Portuguese Liga Nos	BEN	2013-14	Σ196.65m	Group Stage	BEN13	196.65	107.66	BenficaLogo.svg
Porto	30.48	109.55	45.22	Portuguese Liga Nos	POR	2013-14	Σ159.46m	Group Stage	POR13	159.46	185.25	PortoLogo.svg
