Club	DefenceScore	AttackScore	PossessionScore	OverallPerformanceScore	League	ClubCode	Season	SquadValue	FinalRound	UniqueName	SquadValue(Million)	ClubManager	Win	Draw	Loss	sum	img
Monaco	116.88	75.6	-74.82	117.66	French Ligue 1	MON	2014-15	£113.69m	Quarter-finals	MON14	113.69		4	3	3	10	monaco.png
Bayern Munich	20.85	185.31	124.06	330.22	German Bundesliga	BAY	2014-15	£479.70m	Semi-finals	BAY14	479.7	Pep Guardiola	8	1	3	12	BayernMunichLogo.svg
Borussia Dortmund	50.48	130.46	28.69	209.63	German Bundesliga	DOR	2014-15	£292.78m	Round of 16	DOR14	292.78	Jurger Klopp	4	1	3	8	BVBLogo.svg
Bayer Leverkusen	63.7	95.96	-83.39	76.27	German Bundesliga	LEV	2014-15	£150.32m	Round of 16	LEV14	150.32		4	2	2	8	LeverkusenLogo.svg
Schalke 04	12.73	114.11	45.87	172.71	German Bundesliga	SCH	2014-15	£177.01m	Round of 16	SCH14	177.01		3	2	3	8	schalke.png
Juventus	85.56	96.28	23.53	205.37	Italian Serie A	JUV	2014-15	£279.65m	Final	JUV14	279.65		7	3	3	13	JuventusLogo.svg
Roma	26.76	113.21	40.08	180.05	Italian Serie A	ROM	2014-15	£209.44m	Group Stage	ROM14	209.44		1	2	3	6	RomaLogo.svg
Benfica	77.38	69.62	-34.69	112.31	Portuguese Liga Nos	BEN	2014-15	£152.79m	Group Stage	BEN14	152.79		1	2	3	6	BenficaLogo.svg
Porto	107.14	153.1	9	269.24	Portuguese Liga Nos	POR	2014-15	£167.88m	Quarter-finals	POR14	167.88		6	3	1	10	PortoLogo.svg
Sporting CP	2.62	137.1	19.98	159.7	Portuguese Liga Nos	SCP	2014-15	£119.43m	Group Stage	SCP14	119.43		2	1	3	6	SportingLogo.png
Real Madrid	87.84	217.54	62.94	368.32	Spanish La Liga	RMA	2013-14	£485.78m	Winner	RMA13	485.78	Carlos Ancelotti	11	1	1	13	real_madrid_logo.svg
Barcelona	82.21	159.06	159.93	401.2	Spanish La Liga	FCB	2013-14	£499.21m	Quarter-finals	FCB13	499.21		6	2	2	10	barcelona_logo.png
Atletico Madrid	97.86	132.57	-35.74	194.69	Spanish La Liga	ATL	2013-14	£195.93m	Final	ATL13	195.93	Diego Simeone	9	3	1	13	AtleticoLogo.svg
Real Sociedad	30.31	38.73	0.33	69.37	Spanish La Liga	RSO	2013-14	£93.08m	Group Stage	RSO13	93.08		0	1	5	6	SociedadLogo.svg
Manchester City	-28.33	149.47	28.07	149.21	English Premier League	MC	2013-14	£399.29m	Quarter-finals	MC13	399.29	Manuel Pellegrini	5	0	3	8	ManCityLogo.svg
Manchester United	102.95	111.37	-13.45	200.87	English Premier League	MUN	2013-14	£350.41m	Quarter-finals	MUN13	350.41		5	3	2	10	manunited.png
Chelsea	95.79	141.53	15.51	252.83	English Premier League	CHE	2013-14	£404.39m	Semi-finals	CHE13	404.39	Jose Mourinho	6	2	4	12	ChelseaLogo.svg
Arsenal	80.45	89.2	22.38	192.03	English Premier League	ARS	2013-14	£291.13m	Quarter-finals	ARS13	291.13	Arsene Wenger	4	1	3	8	ArsenalLogo.svg
Paris Saint-Germain	94.61	160.8	100.2	355.61	French Ligue 1	PSG	2013-14	£306.64m	Quarter-finals	PSG13	306.64	Laurent Blanc	7	1	2	10	psg2.png
Marseille	-11.76	86.22	-13.91	60.55	French Ligue 1	MAR	2013-14	£112.58m	Group Stage	13-Mar	112.58		0	0	6	6	MarseilleLogo.svg
Bayern Munich	71.06	180.49	170.68	422.23	German Bundesliga	BAY	2013-14	£411.10m	Semi-finals	BAY13	411.1	Pep Guardiola	7	2	3	12	BayernMunichLogo.svg
Borussia Dortmund	51.35	121.7	-19.79	153.26	German Bundesliga	DOR	2013-14	£244.84m	Quarter-finals	DOR13	244.84	Jurger Klopp	6	0	4	10	BVBLogo.svg
Bayer Leverkusen	4.15	76.43	7.55	88.13	German Bundesliga	LEV	2013-14	£113.14m	Quarter-finals	LEV13	113.14		3	1	4	8	LeverkusenLogo.svg
Schalke 04	29.82	98.69	6.23	134.74	German Bundesliga	SCH	2013-14	£154.53m	Quarter-finals	SCH13	154.53		3	1	4	8	schalke.png
Juventus	-12	137.77	50.44	176.21	Italian Serie A	JUV	2013-14	£291.64m	Group Stage	JUV13	291.64		1	3	2	6	JuventusLogo.svg
Napoli	63.38	111.12	-18.07	156.43	Italian Serie A	NAP	2013-14	£191.89m	Group Stage	NAP13	191.89		4	0	2	6	napoli.png
A.C. Milan	68.54	66.32	-24.06	110.8	Italian Serie A	MIL	2013-14	£188.28m	Quarter-finals	MIL13	188.28		2	3	1	6	MilanLogo.svg
Benfica	55.23	77.88	-25.45	107.66	Portuguese Liga Nos	BEN	2013-14	£196.65m	Group Stage	BEN13	196.65		3	1	2	6	BenficaLogo.svg
Porto	30.48	109.55	45.22	185.25	Portuguese Liga Nos	POR	2013-14	£159.46m	Group Stage	POR13	159.46		1	2	3	6	PortoLogo.svg
